Gardinercode;Anzahl;Rang;Häufigkeit;Zipf-Wahrscheinlichkeit
X001;136265.0;1;0.07856403633438938;0.2174821776368269
N035;119349.0;2;0.0688110605986353;0.0946646161243037
M017;87381.0;3;0.05037980449077371;0.05819399431040078
D021;75849.0;4;0.04373099175817048;0.04120516744561197
Z001;61714.0;5;0.03558141076828611;0.03152533191270245
G017;52113.0;6;0.03004592247087685;0.02533040726368542
I009;46123.0;7;0.026592368163879512;0.021052613862402276
S029;39821.0;8;0.022958929225198838;0.017935590865244308
Z007;39085.0;9;0.022534585991484307;0.015571579292599037
Z002;36661.0;10;0.021137020776098407;0.0137221977273502
Q003;34256.0;11;0.019750410073539375;0.012239183629378354
G043;31609.0;12;0.018224273470764423;0.01102570015596079
D036;30936.0;13;0.017836253095370565;0.010015938521580888
G001;28405.0;14;0.016376996676170187;0.009163682428385047
V031;26622.0;15;0.015349002130364468;0.008435564724870802
AA001;25398.0;16;0.01464330088299139;0.0078069193653936275
Y001;21423.0;17;0.012351501488948915;0.007259136572847595
V028;18625.0;18;0.010738305336865683;0.006777923562291176
D046;18030.0;19;0.01039525611939266;0.006352129622312347
A001;17800.0;20;0.010262648858856869;0.005972933480602755
N005;17796.0;21;0.010260342645630159;0.0056332693770132945
O034;16838.0;22;0.009708004577833254;0.005327414101420014
W024;16782.0;23;0.009675717592659323;0.0050506848409227366
D058;15489.0;24;0.008930234167125507;0.004799214740752915
D004;15224.0;25;0.008777447540856008;0.004569783892203241
G007;15091.0;26;0.008700765951067922;0.004359690460950795
D002;14893.0;27;0.008586608396345806;0.004166651293471406
V011A;13940.0;28;0.00803715309508229;0.003988724449948699
Z004;13775.0;29;0.007942021799480526;0.0038242482395706486
V030;13500.0;30;0.007783469640144254;0.0036717928114785954
I010;13174.0;31;0.007595513262167437;0.003530121395060658
O001;13103.0;32;0.007554577977393345;0.003398159025575421
V011B;12897.0;33;0.0074358079962178105;0.003274967127105809
R008;12876.0;34;0.007423700376777586;0.0031597227162679853
D054;12588.0;35;0.007257653024454509;0.003051701278945663
V031A;9637.0;36;0.005556244216449642;0.002950262587565328
A002;9550.0;37;0.0055060840787687125;0.0028548388883042966
M023;8774.0;38;0.005058678712787088;0.002764925010417004
AA015;8394.0;39;0.004839588456249694;0.002680070043769433
N037;8324.0;40;0.004799229724782279;0.002599870303034504
Q001;7898.0;41;0.004553618016137727;0.0025239633531680267
O049;7843.0;42;0.004521907584270473;0.0024520229146788655
Z003A;7475.0;43;0.004309735967413207;0.0023837545017325857
F035;7220.0;44;0.004162714874210482;0.0023188916734514543
N029;7134.0;45;0.0041131312898362304;0.0022571928005240996
V013;7070.0;46;0.004076231878208879;0.0021984382666482417
D035;6595.0;47;0.0038023690575371373;0.002142428038339645
S034;6297.0;48;0.0036305561721472865;0.002088979547970756
A024;6068.0;49;0.0034985254649181727;0.002037925844110005
O004;5961.0;50;0.003436834261103696;0.001989113970749543
D028;5960.0;51;0.0034362577077970188;0.0019424035431728293
G005;5649.0;52;0.003256949629420362;0.0018976654932887273
N033;5391.0;53;0.003108198876297605;0.0018547809614548056
G036;5317.0;54;0.003065533931603481;0.0018136403152950284
Y005;5315.0;55;0.0030643808249901264;0.00177414227891808
A040;5232.0;56;0.003016526900535906;0.0017361931583679316
D040;5189.0;57;0.00299173510834878;0.0016997061511728124
N001;4679.0;58;0.0026976929219433305;0.0016646007295712199
E034;4657.0;59;0.002685008749196429;0.0016308020884394452
N017;4415.0;60;0.0025454828489805095;0.0015982406501696756
F051;4319.0;61;0.0024901337315394838;0.0015668516197878902
G037;4247.0;62;0.0024486218934587143;0.0015365745844868777
F034;4130.0;63;0.0023811651565774643;0.0015073531525065782
Z003;4120.0;64;0.002375399623510691;0.0014791346269422453
D037;4115.0;65;0.002372516856977304;0.0014518697106175745
H008;4068.0;66;0.0023454188515634683;0.0014255122386391261
G041;4031.0;67;0.0023240863792164065;0.0014000189356618749
N035A;3966.0;68;0.0022866104142823785;0.001375349195253327
N023;3933.0;69;0.002267584155162026;0.00135146487905368
S043;3874.0;70;0.002233567510068062;0.0013283301336988245
B001;3855.0;71;0.0022226129972411925;0.0013059112237074702
G039;3823.0;72;0.002204163291427517;0.0012841763787382386
R004;3751.0;73;0.002162651453346748;0.0012630956538013949
O029;3657.0;74;0.002108455442519077;0.0012426408011664933
Z009;3605.0;75;0.0020784746705718544;0.0012227851528446587
N014;3588.0;76;0.0020686732643583395;0.0012035035126450326
N016;3505.0;77;0.0020208193399041193;0.0011847720569113259
D001;3454.0;78;0.001991415121263574;0.0011665682431382738
U033;3446.0;79;0.0019868026948101553;0.0011488707257507596
W011;3400.0;80;0.0019602812427029974;0.0011316592784017764
R008A;3363.0;81;0.001938948770355935;0.0011149147222105072
W019;3359.0;82;0.0019366425571292257;0.0010986188594195997
U001;3139.0;83;0.0018098008296602082;0.0010827544120021052
N025;3099.0;84;0.0017867386973931141;0.0010673049647943454
AA011;2954.0;85;0.0017031384679248981;0.001052254912771788
Z005;2906.0;86;0.0016754639092043853;0.0010375894121214871
